citrate assay for samples from ORNL 2016,,
,,
sample,start_OD,end_OD
P1,1.331,0.899
P2,1.383,0.868
P3,1.342,1.088
P4,1.338,0.842
P5,1.339,1.041
P6,1.34,0.968
P7,1.347,0.896
P8,1.345,0.965
P9,1.337,1.045
P10,1.337,1.066
P11,1.341,0.848
P12,1.321,0.874
P13,1.354,1.125
P14,1.321,1.214
P15,1.339,1.191
P16,1.33,1.164
P17,1.336,1.238
P18,1.55,1.396
P19,1.56,1.496
P20,1.529,1.468
P21,1.34,1.283
P22,1.538,1.457
P23,1.532,1.481
P24,1.567,1.452
T1,1.356,1.118
T2,1.532,1.302
T3,1.533,1.444
T4,1.537,1.347
T5,1.533,1.328
T6,1.535,1.321
T7,1.531,1.37
T8,1.531,1.376
T9,1.345,1.211
T10,1.534,1.212
T11,1.529,1.386
T12,1.531,1.355
T13,1.354,1.192
T14,1.536,1.352
T15,1.528,1.411
T16,1.535,1.395
T17,1.533,1.388
T18,1.531,1.33
T19,1.519,1.446
T20,1.523,1.417
T21,1.348,1.193
T22,1.534,1.396
T23,1.543,1.368
T24,1.528,1.343
